Temperature_K,Wavelength_nm,n,k,Eg_eV
280,250.0,1.718609,0.703610842885877,1.6434341980509533
280,260.0,1.741234,0.7090244562837995,1.6434341980509533
280,270.0,1.740974,0.7174515284125046,1.6434341980509533
280,280.0,1.727297,0.742839420295332,1.6434341980509533
280,290.0,1.712858,0.7906593640929105,1.6434341980509533
280,300.0,1.709886,0.8602354979830621,1.6434341980509533
280,310.0,1.729131,0.9462252109537452,1.6434341980509533
280,320.0,1.778979,1.0391095154269672,1.6434341980509533
280,330.0,1.863991,1.1256689914186335,1.6434341980509533
280,340.0,1.982935,1.1902224096941556,1.6434341980509533
280,350.0,2.126688,1.217517907267544,1.6434341980509533
280,360.0,2.2778650000000003,1.197855562122143,1.6434341980509533
280,370.0,2.4149010000000004,1.1320796107389113,1.6434341980509533
280,380.0,2.5190880000000004,1.0319220495374741,1.6434341980509533
280,390.0,2.579311,0.9166268568530986,1.6434341980509533
280,400.0,2.595899,0.8082262297549211,1.6434341980509533
280,410.0,2.5809460000000004,0.7229488148117011,1.6434341980509533
280,420.0,2.550511,0.6667207228882194,1.6434341980509533
280,430.0,2.5185030000000004,0.6382153542891702,1.6434341980509533
280,440.0,2.495845,0.6320990353891104,1.6434341980509533
280,450.0,2.4907830000000004,0.6397805595535214,1.6434341980509533
280,460.0,2.5076340000000004,0.6495404754401006,1.6434341980509533
280,470.0,2.5442440000000004,0.6485830892313474,1.6434341980509533
280,480.0,2.590999,0.6278257154168034,1.6434341980509533
280,490.0,2.634436,0.5863709733266477,1.6434341980509533
280,500.0,2.6638780000000004,0.5312132549663527,1.6434341980509533
280,510.0,2.675517,0.4722943857888872,1.6434341980509533
280,520.0,2.6714610000000003,0.4176275029142354,1.6434341980509533
280,530.0,2.6564200000000002,0.3715757114276554,1.6434341980509533
280,540.0,2.6351630000000004,0.3355430460949887,1.6434341980509533
280,550.0,2.61152,0.30925189621595206,1.6434341980509533
280,560.0,2.5883480000000003,0.2916635916087228,1.6434341980509533
280,570.0,2.5678360000000002,0.28138857903895165,1.6434341980509533
280,580.0,2.551772,0.27669780145274553,1.6434341980509533
280,590.0,2.541576,0.2753399795492578,1.6434341980509533
280,600.0,2.5379790000000004,0.27441079194013873,1.6434341980509533
280,610.0,2.540327,0.2706574090187799,1.6434341980509533
280,620.0,2.545847,0.2619280771436648,1.6434341980509533
280,630.0,2.550889,0.24832816273873157,1.6434341980509533
280,640.0,2.552604,0.2320390353682672,1.6434341980509533
280,650.0,2.5501650000000002,0.21594898757079475,1.6434341980509533
280,660.0,2.544544,0.202256009521887,1.6434341980509533
280,670.0,2.5375110000000003,0.19199156437625478,1.6434341980509533
280,680.0,2.5308770000000003,0.18525845242848527,1.6434341980509533
280,690.0,2.526259,0.1815836323455559,1.6434341980509533
280,700.0,2.5251900000000003,0.18004145292374787,1.6434341980509533
280,710.0,2.5293400000000004,0.1789681183396362,1.6434341980509533
280,720.0,2.5405520000000004,0.17510934164511052,1.6434341980509533
280,730.0,2.5599540000000003,0.16233110065815481,1.6434341980509533
280,740.0,2.5841410000000002,0.13246746142740307,1.6434341980509533
280,750.0,2.598373,0.0846111832604063,1.6434341980509533
280,760.0,2.583489,0.03665340749878876,1.6434341980509533
280,770.0,2.545402,0.010454997356053895,1.6434341980509533
280,780.0,2.509961,0.004574488123873789,1.6434341980509533
280,790.0,2.487591,0.0033810786517954033,1.6434341980509533
280,800.0,2.47041,0.0024289570829719156,1.6434341980509533
280,810.0,2.4561140000000004,0.0016868045373241488,1.6434341980509533
280,820.0,2.4437650000000004,0.0011261909778808876,1.6434341980509533
280,830.0,2.432862,0.0007239617877670924,1.6434341980509533
280,840.0,2.4231040000000004,0.0004524049621074636,1.6434341980509533
280,850.0,2.4143060000000003,0.00026897551810841107,1.6434341980509533
280,860.0,2.406296,0.00013797519238257377,1.6434341980509533
280,870.0,2.398944,5.3306054505675886e-05,1.6434341980509533
280,880.0,2.39216,1.0884043609829169e-05,1.6434341980509533
280,890.0,2.3858770000000002,0.0,1.6434341980509533
280,900.0,2.380053,0.0,1.6434341980509533
280,910.0,2.374619,0.0,1.6434341980509533
280,920.0,2.3695290000000004,0.0,1.6434341980509533
280,930.0,2.3647440000000004,0.0,1.6434341980509533
280,940.0,2.3602320000000003,0.0,1.6434341980509533
280,950.0,2.3559690000000004,0.0,1.6434341980509533
280,960.0,2.3519310000000004,0.0,1.6434341980509533
280,970.0,2.3480990000000004,0.0,1.6434341980509533
280,980.0,2.344456,0.0,1.6434341980509533
280,990.0,2.340987,0.0,1.6434341980509533
280,1000.0,2.337679,0.0,1.6434341980509533
280,1010.0,2.3345190000000002,0.0,1.6434341980509533
280,1020.0,2.3314980000000003,0.0,1.6434341980509533
280,1030.0,2.328606,0.0,1.6434341980509533
280,1040.0,2.3258330000000003,0.0,1.6434341980509533
280,1050.0,2.3231740000000003,0.0,1.6434341980509533
280,1060.0,2.320619,0.0,1.6434341980509533
280,1070.0,2.3181640000000003,0.0,1.6434341980509533
280,1080.0,2.315801,0.0,1.6434341980509533
280,1090.0,2.313527,0.0,1.6434341980509533
280,1100.0,2.311334,0.0,1.6434341980509533
280,1110.0,2.3092200000000003,0.0,1.6434341980509533
280,1120.0,2.3071800000000002,0.0,1.6434341980509533
280,1130.0,2.305209,0.0,1.6434341980509533
280,1140.0,2.3033040000000002,0.0,1.6434341980509533
280,1150.0,2.301463,0.0,1.6434341980509533
280,1160.0,2.2996800000000004,0.0,1.6434341980509533
280,1170.0,2.2979550000000004,0.0,1.6434341980509533
280,1180.0,2.2962830000000003,0.0,1.6434341980509533
280,1190.0,2.2946630000000003,0.0,1.6434341980509533
280,1200.0,2.2930910000000004,0.0,1.6434341980509533
290,250.0,1.7196090000000002,0.7035400364094034,1.6459732388498893
290,260.0,1.742234,0.708911920303225,1.6459732388498893
290,270.0,1.7419740000000001,0.7170723932708986,1.6459732388498893
290,280.0,1.7282970000000002,0.7420609285997699,1.6459732388498893
290,290.0,1.713858,0.7894360247503479,1.6459732388498893
290,300.0,1.7108860000000001,0.8586091280945074,1.6459732388498893
