Temperature_K,Wavelength_nm,n,k,Eg_eV
280,300.0,5.095400000000001,0.0,1.129568502977672
280,310.0,5.114400000000001,3.6449439226298996,1.129568502977672
280,320.0,5.135400000000001,3.325733840089075,1.129568502977672
280,330.0,5.2054,3.120735944312828,1.129568502977672
280,340.0,5.319400000000001,2.992864247244279,1.129568502977672
280,350.0,5.5204,2.943458832971699,1.129568502977672
280,360.0,6.058400000000001,2.963801804251502,1.129568502977672
280,370.0,6.9564,2.143825164414164,1.129568502977672
280,380.0,6.646400000000001,0.9857091359180677,1.129568502977672
280,390.0,6.0544,0.4759436652803815,1.129568502977672
280,400.0,5.6264,0.2987051288162001,1.129568502977672
280,410.0,5.3414,0.224529118644029,1.129568502977672
280,420.0,5.1294,0.17390955818072573,1.129568502977672
280,430.0,4.9584,0.13575720846406944,1.129568502977672
280,440.0,4.8144,0.10946937237093969,1.129568502977672
280,450.0,4.6934000000000005,0.09432403806341186,1.129568502977672
280,460.0,4.5884,0.08051760524469248,1.129568502977672
280,470.0,4.4984,0.06905157140316008,1.129568502977672
280,480.0,4.4194,0.05975963017269655,1.129568502977672
280,490.0,4.351400000000001,0.05223484667063901,1.129568502977672
280,500.0,4.2914,0.045916354002590795,1.129568502977672
280,510.0,4.2374,0.04089538561414675,1.129568502977672
280,520.0,4.1904,0.036922564137563466,1.129568502977672
280,530.0,4.1474,0.033657908619372075,1.129568502977672
280,540.0,4.1084000000000005,0.030819167038713517,1.129568502977672
280,550.0,4.0734,0.02834451488691156,1.129568502977672
280,560.0,4.0414,0.026256982996010314,1.129568502977672
280,570.0,4.0114,0.024367326691588923,1.129568502977672
280,580.0,3.9844,0.022715578865420197,1.129568502977672
280,590.0,3.9594,0.021358690471464627,1.129568502977672
280,600.0,3.9364,0.01999459382460577,1.129568502977672
280,610.0,3.9144,0.018787131632063893,1.129568502977672
280,620.0,3.8944,0.01768302009634366,1.129568502977672
280,630.0,3.8754,0.01664280244209892,1.129568502977672
280,640.0,3.8574,0.015666294569649266,1.129568502977672
280,650.0,3.8404,0.014762690872283263,1.129568502977672
280,660.0,3.8254,0.013912070752742013,1.129568502977672
280,670.0,3.8104,0.013104424685933567,1.129568502977672
280,680.0,3.7963999999999998,0.012332495599311485,1.129568502977672
280,690.0,3.7834,0.01159282314445276,1.129568502977672
280,700.0,3.7704,0.010891459997765095,1.129568502977672
280,710.0,3.7594,0.010218790209416724,1.129568502977672
280,720.0,3.7474,0.009578246763506161,1.129568502977672
280,730.0,3.7374,0.00896873803206854,1.129568502977672
280,740.0,3.7274,0.008386650097223614,1.129568502977672
280,750.0,3.7174,0.007832644858031566,1.129568502977672
280,760.0,3.7084,0.0073039802168069195,1.129568502977672
280,770.0,3.6994,0.006805612687008675,1.129568502977672
280,780.0,3.6914,0.00632681520378448,1.129568502977672
280,790.0,3.6834,0.005873370507127505,1.129568502977672
280,800.0,3.6754,0.005445005460647711,1.129568502977672
280,810.0,3.6684,0.005037325241062281,1.129568502977672
280,820.0,3.6614,0.004650531028703964,1.129568502977672
280,830.0,3.6544,0.004284556140356175,1.129568502977672
280,840.0,3.6484,0.003937632420375395,1.129568502977672
280,850.0,3.6414,0.003608916958944996,1.129568502977672
280,860.0,3.6353999999999997,0.003298041663843671,1.129568502977672
280,870.0,3.6304,0.00300505260994825,1.129568502977672
280,880.0,3.6244,0.0027296805965547908,1.129568502977672
280,890.0,3.6194,0.00246948915389233,1.129568502977672
280,900.0,3.6144,0.002225799918444163,1.129568502977672
280,910.0,3.6094,0.0019974262966804953,1.129568502977672
280,920.0,3.6044,0.0017831690203732981,1.129568502977672
280,930.0,3.6004,0.0015772310073660502,1.129568502977672
280,940.0,3.5954,0.0013948147421497148,1.129568502977672
280,950.0,3.5914,0.0012263380103626335,1.129568502977672
280,960.0,3.5874,0.001065033168685113,1.129568502977672
280,970.0,3.5834,0.0009165781182586088,1.129568502977672
280,980.0,3.5794,0.0007825886639705576,1.129568502977672
280,990.0,3.5754,0.0006604960882577001,1.129568502977672
280,1000.0,3.5714,0.0005490170821231622,1.129568502977672
280,1010.0,3.5674,0.00044899355429829776,1.129568502977672
280,1020.0,3.5644,0.0003608448168506177,1.129568502977672
280,1030.0,3.5614,0.00028215186940474564,1.129568502977672
280,1040.0,3.5584,0.0002144300319771173,1.129568502977672
280,1050.0,3.5554,0.00015912424047756553,1.129568502977672
280,1060.0,3.5524,0.00011525396725658553,1.129568502977672
280,1070.0,3.5494,8.354395309789523e-05,1.129568502977672
280,1080.0,3.5463999999999998,6.280362692783777e-05,1.129568502977672
280,1090.0,3.5434,4.826479076028459e-05,1.129568502977672
280,1100.0,3.5409,3.690291807733352e-05,1.129568502977672
280,1110.0,3.5385,2.8153229074267957e-05,1.129568502977672
280,1120.0,3.5362,2.1305355417775485e-05,1.129568502977672
280,1130.0,3.5339,1.580799156778999e-05,1.129568502977672
280,1140.0,3.5316,1.1335558645321745e-05,1.129568502977672
280,1150.0,3.5295,7.775084281053422e-06,1.129568502977672
280,1160.0,3.5274,5.018210766815452e-06,1.129568502977672
280,1170.0,3.5253,2.9359526547780014e-06,1.129568502977672
280,1180.0,3.5233,1.367705043182422e-06,1.129568502977672
280,1190.0,3.5214,4.554157043429733e-07,1.129568502977672
280,1200.0,3.5195,2.171689467544347e-07,1.129568502977672
290,300.0,5.0972,0.0,1.127
290,310.0,5.1162,3.6332596857175843,1.127
290,320.0,5.1372,3.319395958306352,1.127
290,330.0,5.207199999999999,3.116337313299135,1.127
290,340.0,5.3212,2.989962469529845,1.127
290,350.0,5.5222,2.9423289884271857,1.127
290,360.0,6.0602,2.9644248833863713,1.127
290,370.0,6.9582,2.1198336494850785,1.127
290,380.0,6.6482,0.9513740246948824,1.127
290,390.0,6.0562,0.46152645437779366,1.127
290,400.0,5.6282,0.2935828593649835,1.127
290,410.0,5.3431999999999995,0.2222004518441238,1.127
290,420.0,5.1312,0.1721444948883652,1.127
290,430.0,4.9601999999999995,0.13435749337933722,1.127
290,440.0,4.816199999999999,0.10847080467496348,1.127
290,450.0,4.6952,0.0937368610422612,1.127
290,460.0,4.590199999999999,0.07992516652546668,1.127
290,470.0,4.5001999999999995,0.06854591413377581,1.127
290,480.0,4.4212,0.0593328385495309,1.127
290,490.0,4.3532,0.051874797829341984,1.127
290,500.0,4.2932,0.04560018383856198,1.127
290,510.0,4.239199999999999,0.04063624478135113,1.127
290,520.0,4.1922,0.03670941407727991,1.127
290,530.0,4.1491999999999996,0.033475018152075466,1.127
290,540.0,4.1102,0.03065285859634546,1.127
290,550.0,4.0752,0.0281942644293678,1.127
290,560.0,4.0432,0.02612631865523,1.127
290,570.0,4.013199999999999,0.024243265206881737,1.127
290,580.0,3.9862,0.022604219730861068,1.127
290,590.0,3.9612000000000003,0.02126503887689752,1.127
290,600.0,3.9382,0.019893464980443937,1.127
290,610.0,3.9162000000000003,0.018697319039908362,1.127
290,620.0,3.8962000000000003,0.01759714615606403,1.127
290,630.0,3.8772,0.01655897398695688,1.127
290,640.0,3.8592000000000004,0.01558519839327168,1.127
290,650.0,3.8422,0.01468550711255361,1.127
290,660.0,3.8272000000000004,0.013836830922856407,1.127
290,670.0,3.8122000000000003,0.01303073303435026,1.127
290,680.0,3.7982,0.012259845190333228,1.127
290,690.0,3.7852,0.01152112081541092,1.127
290,700.0,3.7722,0.01082167728263247,1.127
290,710.0,3.7612,0.01014968017195716,1.127
290,720.0,3.7492,0.009510768507712285,1.127
290,730.0,3.7392000000000003,0.00890269458180836,1.127
